model,model_year,motivator_number,recommended_trim_path,adjective_key,adjective_customer,boost,feature_anchor_key,feature_anchor_customer,proof_points,notes
santa_fe_hybrid,2026,1,"Calligraphy (or Limited)","premium","premium",5,"nappa_leather","Nappa Leather","Premium comfort themes + available Nappa leather seating surfaces; bold/statement design language throughout page","Use when guest wants top-tier feel, presence, and the 'best one'"
santa_fe_hybrid,2026,2,"SEL (or Limited)","convenient","convenient",4,"digital_key_2_premium","Hyundai Digital Key 2 Premium","Phone-as-key; unlock/start; share a digital key; convenience tech focus (dual wireless charging also highlighted)","Use when guest prioritizes ease, control, and friction-free ownership"
santa_fe_hybrid,2026,3,"SE (or SEL)","efficient","efficient",5,"mpg_combined","Up to 36 MPG Combined","Up to EPA-est. 36 MPG Combined; 231 hp combined; 0% APR up to 60 months + 0 payments for 90 days (well-qualified buyers)","Use when guest is value/logic-driven: efficiency + smart financing + practical performance"
santa_fe_hybrid,2026,4,"Limited (or Calligraphy)","secure","secure",5,"hyundai_smartsense","Hyundai SmartSense","Highway Driving Assist (HDA) standard on Limited; HDA 2 standard on Calligraphy; multiple driver-assist and collision-avoidance features listed; battery warranty 10-year/100,000-mile","Use when guest wants peace of mind, safety confidence, and predictability"
santa_fe_hybrid,2026,5,"Limited (or Calligraphy)","upgraded","upgraded",4,"dual_wireless_charging","Dual Wireless Device Charging","Charge two phones at once; large digital displays (12.3-inch cluster + 12.3-inch touchscreen available); premium convenience tech positioned as 'epic' and 'effortless'","Use when guest wants daily enjoyment, comfort, and 'nice-to-have' features"
santa_fe_hybrid,2026,6,"Any trim (family-focused builds)","welcoming","welcoming",5,"three_rows_standard","Three Rows Standard (Up to 7)","Three rows standard; room for up to seven; available captain's chairs; flexible seating/cargo language; 'terrace' / shared experiences framing","Use when guest talks about family, passengers, trips, gear, and shared experiences"
santa_fe,2026,1,"Calligraphy (or Limited)","prestige","prestige",5,"nappa_leather","Nappa Leather","Available Nappa leather seating surfaces; bold/capable/refined design language; large digital displays available","Use when guest wants the flagship feel, presence, and top-tier finish"
santa_fe,2026,2,"SEL (or Limited)","convenient","convenient",4,"bluelink_plus","Bluelink+ (remote start/lock/climate)","Remote start, lock/unlock, climate control through app; friction-free convenience features; dual wireless device charging available","Use when guest values control, flexibility, and making ownership easy"
santa_fe,2026,3,"SE (or SEL)","practical","practical",5,"value_power","277 hp + Starting MSRP $34,800","Starting MSRP $34,800; 277 hp; 0% APR up to 60 months + 0 payments for 90 days (well-qualified buyers)","Use when guest is logic/value-driven: clear power + pricing + smart financing"
santa_fe,2026,4,"Limited (or Calligraphy)","secure","secure",5,"hyundai_smartsense","Hyundai SmartSense","Extensive SmartSense suite listed; HDA standard on XRT & Limited; HDA 2 standard on Calligraphy; additional parking-distance and attention features by trim","Use when guest prioritizes peace of mind, safety tech, and predictable confidence"
santa_fe,2026,5,"XRT (or Limited)","adventure_ready","adventure-ready",5,"xrt_capability","HTRAC AWD + 4,500-lb towing (XRT)","XRT highlights: HTRAC AWD + 4,500-lb towing; all-terrain tires; extra ground clearance; rugged trim; AC power outlet","Use when guest wants a fun, capable 'weekend-ready' feel and lifestyle upgrades"
santa_fe,2026,6,"Any trim (family builds)","welcoming","welcoming",5,"three_rows","Three Rows / 7-passenger space","Three rows; spaciousness; togetherness framing (tailgate/stargazing); flexible cargo with liftgate + fold-flat seats; captain's chairs available","Use when guest talks about family, passengers, trips, gear, and shared moments"
