model,model_year,trim,motivator_number,channel,adjective_key,adjective_customer,boost,feature_anchor_key,feature_anchor_customer,notes
elantra,2026,se,3,any,sensible,sensible,4,roi_resale,ROI / Resale,approved_prudence_fallback
elantra,2026,sel,2,any,straightforward,straightforward,4,convenience_tech,Convenience Tech,focus_on_ease_of_use
elantra,2026,sel_sport_premium,1,any,elevated,elevated,4,interior_finish,Interior Finish,status_boost_for_sport_trim
elantra,2026,n_line,5,any,exciting,exciting,5,acceleration_handling,Acceleration & Handling,high_energy_reward_energy
elantra,2026,limited,1,any,premium,premium,5,cabin_materials,Cabin Materials,focus_on_top_tier_materials
elantra,2026,n_dct,5,any,high_impact,high-impact,5,track_tuned_tech,Track-Tuned Tech,maximum_reward_performance
elantra,2026,n_mt,5,any,engaging,engaging,5,manual_control,Manual Control,purist_enthusiast_reward
elantra_hybrid,2026,hev_sel_sport,3,any,efficient,efficient,4,fuel_savings,Fuel Savings,primary_hybrid_value_hook
elantra_hybrid,2026,limited,1,any,refined,refined,5,hybrid_ride_quality,Hybrid Ride Quality,smoothness_plus_status
elantra_hybrid,2026,blue,3,any,smart,smart,5,mpg_story,MPG Story,highest_practical_roi
ioniq_5_awd,2026,se,3,any,practical,practical,4,ev_efficiency,EV Efficiency,entry_level_ev_logic
ioniq_5_awd,2026,sel,2,any,convenient,convenient,4,charging_ease,Charging Ease,autonomy_control_focus
ioniq_5_awd,2026,xrt,5,any,bold,bold,5,rugged_design,Rugged Design,specific_reward_for_off_road_look
ioniq_5_awd,2026,limited,1,any,statement_making,statement-making,5,design_identity,Design Identity,flagship_ev_presence
ioniq_5_awd,2026,xrt_tow_hitch,3,any,informed,informed,4,towing_specs,Towing Specs,data_backed_capability
ioniq_9_awd,2026,se_awd,4,any,secure,secure,4,traction_stability,Traction & Stability,safety_for_large_family_ev
ioniq_9_awd,2026,sel_awd,6,any,welcoming,welcoming,4,cabin_space,Cabin Space,hospitality_focus_for_families
ioniq_9_awd,2026,performance_limited_awd,1,any,flagship,flagship,5,presence_scale,Presence & Scale,top_tier_status_positioning
ioniq_9_awd,2026,performance_calligraphy_awd,1,any,prestige,prestige,5,signature_design,Signature Design,the_ultimate_statement
ioniq_9_awd,2026,performance_calligraphy_design_awd,1,any,exclusive,exclusive,5,bespoke_details,Bespoke Details,maximum_status
kona_awd,2026,se,3,any,sensible,sensible,4,utility_value,Utility Value,smart_city_suv_logic
kona_awd,2026,sel_sport_awd,5,any,refreshing,refreshing,4,vibrant_design,Vibrant Design,modern_urban_reward
kona_awd,2026,sel_premium_awd,1,any,polished,polished,4,tech_updates,Tech Updates,refined_tech_forward_feel
kona_awd,2026,limited,1,any,high_impact,high-impact,5,wheels_finish,Wheels & Finish,visual_standout_styling
palisade_awd,2026,se,4,any,dependable,dependable,4,reliability,Reliability,foundational_security_word
