model	motivator_number	recommended_trim_path	adjective_key	adjective_customer	boost	feature_anchor_key	feature_anchor_customer
venue	1	SEL w/ 2-Tone Roof	design_forward	Style-Leading	4	two_tone_styling	Contrast Roof Design
venue	2	SEL (or SE)	low_friction	Seamless-Convenience	4	proximity_key	Proximity Key Entry
venue	3	SE (or SEL)	value_centric	Logic-Driven	5	best_warranty	Best Warranty Coverage
venue	4	SEL (or SE)	safety_first	Peace-of-Mind	4	smartsense_suite	SmartSense Safety Suite
venue	5	SEL (or SE)	tech_indulgence	Digital-Wow	3	dual_usb_ports	Multiple USB Charging
venue	6	SEL (or SE)	space_optimizer	Versatile-Utility	4	folding_rear_seats	60/40 Split Folding
kona	1	Limited (or SEL Premium)	premium_presence	Top-Trim-Status	5	h_tex_seating	Premium H-Tex Seating
kona	2	Limited (or SEL Premium)	tech_integrated	Digital-Control	5	digital_key_2	Digital Key 2 Touch
kona	3	SE (or SEL Sport)	budget_logical	High-Value	5	fuel_efficiency	31 MPG Combined Efficiency
kona	4	SEL Premium (or Limited)	predictable_safety	Confidence-Standard	5	hda_system	Highway Driving Assist
kona	5	Limited (or SEL Premium)	comfort_rich	Indulgent-Comfort	4	ventilated_seats	Ventilated Front Seats
kona	6	SEL Sport (or SE)	active_shared	Trip-Ready	4	cargo_capacity	Versatile Cargo Space
kona_electric	1	SE (Standard Range)	modern_ev_identity	Future-Focused	3	dual_12_3_displays	Dual 12.3" Displays
kona_electric	2	SE (Standard Range)	remote_empowered	Tech-Convenience	4	bluelink_plus	Bluelink+ Connected Care
kona_electric	3	SE (Standard Range)	efficient_logical	EV-Value-Expert	5	standard_range_battery	200-Mile Efficient Range
kona_electric	4	SE (Standard Range)	safe_predictable	Standard-Protection	5	smartsense_safety	SmartSense Driver Assists
kona_electric	5	SE (Standard Range)	smooth_electric	Quiet-Ride-Treat	4	quiet_operation	Ultra-Quiet Electric Drive
kona_electric	6	SE (Standard Range)	shared_efficiency	Family-EV-Logic	4	interior_volume	Spacious EV Interior
santa_cruz	1	Limited (or XRT)	sophisticated_luxury	Premium-Status	5	curved_dual_displays	Dual 12.3" Curved Screens
santa_cruz	2	Limited (or SEL Activity)	independent_capable	Remote-Adventure	4	multifunction_tailgate	Multi-Function Tailgate
santa_cruz	3	SE (or SEL)	utility_value	Logical-Utility	5	under_bed_storage	Under-Bed Storage
santa_cruz	4	SEL (or SE)	adventure_confident	Secure-Confidence	5	smartsense_safety	SmartSense Driver Assists
santa_cruz	5	XRT (or Limited)	performance_wow	Turbocharged-Indulgence	5	turbo_engine	281-HP Turbo Engine
santa_cruz	6	SEL Activity (or Limited)	gear_ready	Weekend-Shared-Life	5	towing_capacity	5,000-lb Towing Capacity
tucson	1	Limited (or SEL Premium)	premium_versatility	High-Status-SUV	4	panoramic_sunroof	Panoramic Sunroof
tucson	2	Limited (or SEL Premium)	hands_free_tech	Frictionless-Control	4	smart_liftgate	Hands-Free Smart Liftgate
tucson	3	SE (or SEL)	segment_value	Logic-Driven-Value	5	towing_upgrade	2,750-lb Tow Capacity
tucson	4	SEL Premium (or Limited)	comprehensive_safety	Peace-of-Mind	5	smartsense_safety	SmartSense Safety Suite
tucson	5	Limited (or XRT)	comfort_premium	Indulgent-Treat	4	ventilated_seats	Ventilated Front Seats
tucson	6	XRT (or SEL Premium)	road_trip_ready	Shared-Experience	5	cargo_space	41.2 cu. ft. Cargo Space
tucson_hybrid	1	Limited (or SEL Convenience)	eco_premium	High-Tech-Premium	5	dark_chrome_grille	Dark Chrome Accent Grille
tucson_hybrid	2	Limited (or SEL Convenience)	tech_convenient	Smart-Independence	4	shift_by_wire	Column Shift-by-Wire
tucson_hybrid	3	Blue SE (or SEL)	logic_efficient	Efficiency-Logic	5	hybrid_mpg	231-HP Hybrid Efficiency
tucson_hybrid	4	SEL (or Blue SE)	all_weather_safe	AWD-Confidence	5	htrac_awd	Standard HTRAC AWD
tucson_hybrid	5	Limited (or SEL Convenience)	refined_performance	Power-Indulgence	4	bose_audio	Bose Premium Audio
tucson_hybrid	6	Limited (or SEL Convenience)	family_adventure	Shared-Utility	4	interior_volume	Spacious Hybrid Interior
tucson_phev	1	Limited (or SEL)	advanced_tech_status	Tech-Signature	4	phev_badging	Exclusive PHEV Identity
tucson_phev	2	Limited (or SEL)	gas_independent	EV-Independence	5	ev_range	32-Mile All-Electric Range
tucson_phev	3	SEL (or Limited)	long_term_value	Efficiency-Logic	5	mpge_rating	77 MPGe Efficiency
tucson_phev	4	SEL (or Limited)	predictable_safety	Safe-Predictability	5	smartsense_standard	SmartSense Safety Suite
tucson_phev	5	Limited (or SEL)	premium_luxury	Silent-Luxury-Wow	5	remote_parking	Remote Smart Parking Assist
tucson_phev	6	Limited (or SEL)	eco_family	Shared-Eco-Life	4	smart_liftgate	Hands-Free Smart Liftgate
santa_fe	1	Calligraphy (or Limited)	bold_status	High-Presence-Status	5	boxy_design	Bold Square Design
santa_fe	2	Limited (or XRT)	digital_control	Seamless-Tech-Control	5	curved_display	Dual 12.3" Curved Display
santa_fe	3	SE (or SEL)	logic_capacity	Value-Utility-Logic	5	three_row_seating	Standard Three-Row Capacity
santa_fe	4	Limited (or XRT)	family_security	Confidence-Secure	5	collision_avoidance	Collision-Avoidance Assist
santa_fe	5	Calligraphy (or Limited)	indulgent_adventure	Luxury-Retreat	5	nappa_leather	Premium Nappa Leather
santa_fe	6	XRT (or Limited)	shared_adventure	Road-Trip-Shared-Life	5	captain_chairs	2nd-Row Captain's Chairs
santa_fe_hybrid	1	Calligraphy (or Limited)	eco_status	Premium-Eco-Status	5	calligraphy_trim	Calligraphy Flagship Trim
santa_fe_hybrid	2	Limited (or SEL)	high_tech_autonomy	Tech-Independence	4	bluelink_plus	Bluelink+ Connectivity
santa_fe_hybrid	3	SE (or SEL)	logical_expert	Efficiency-Logic	5	hybrid_range	600-Mile Driving Range
santa_fe_hybrid	4	SEL (or SE)	all_weather_safe	AWD-Confidence	5	htrac_awd	Available HTRAC AWD
santa_fe_hybrid	5	Calligraphy (or Limited)	silent_premium	Smooth-Hybrid-Reward	4	quiet_drive	Quiet Hybrid Performance
santa_fe_hybrid	6	SEL (or SE)	shared_efficiency	Family-Connection	5	rear_legroom	42" 2nd-Row Legroom
palisade	1	Calligraphy (or Limited)	flagship_status	Pinnacle-of-Luxury	5	illuminated_grille	Illuminated Grille Design
palisade	2	Calligraphy (or Limited)	advanced_control	High-Tech-Independence	5	remote_parking	Remote Smart Parking Assist
palisade	3	SE (or SEL)	flagship_value	Logical-Flagship-Value	5	best_warranty	Best Warranty Coverage
palisade	4	Limited (or Calligraphy)	ultimate_safety	Top-Safety-Confidence	5	hda_2_system	Highway Driving Assist 2
palisade	5	Calligraphy (or Limited)	indulgent_luxury	Massaging-Driver-Treat	5	massaging_seats	Ergo-Motion Massaging Seat
palisade	6	SEL (or SE)	maximum_shared	Multi-Row-Connection	5	passenger_capacity	8-Passenger Seating
palisade_hybrid	1	Calligraphy (or Limited)	premium_eco_flagship	Eco-Luxury-Status	5	calligraphy_hybrid	Calligraphy Hybrid Status
palisade_hybrid	2	Calligraphy (or Limited)	smart_convenience	High-Tech-Convenience	4	digital_key_2	Digital Key 2 Premium
palisade_hybrid	3	SEL (or Blue SEL Premium)	efficiency_logic	Intelligent-Efficiency	5	hybrid_mpg	34 MPG Combined (FWD)
palisade_hybrid	4	Limited (or Calligraphy)	predictable_safety	Safe-Family-Secure	5	smartsense_safety	Standard SmartSense Suite
palisade_hybrid	5	Calligraphy (or Limited)	high_power_wow	Performance-Hybrid-Reward	5	combined_hp	329-HP System Output
palisade_hybrid	6	SEL (or Blue SEL Premium)	shared_utility	Family-Trip-Utility	5	cargo_capacity	Identical Cargo Capacity
